,type,flt,from,to,tm,gate
0,D,201,06 : 20,06 : 29,국내선,13
1,D,203,06 : 45,06 : 54,국내선,3
2,D,205,07 : 40,07 : 57,국내선,3
3,D,207,09 : 50,10 : 09,국내선,13
4,D,9887,11 : 00,11 : 14,국제선,34
5,D,209,11 : 15,11 : 34,국내선,3
6,D,211,11 : 40,11 : 55,국내선,1
7,D,257,12 : 50,13 : 04,국내선,2
8,D,213,12 : 55,13 : 12,국내선,13
9,D,215,13 : 50,14 : 10,국내선,3
10,D,217,14 : 45,14 : 45,국내선,2
11,D,219,15 : 50,15 : 50,국내선,1
12,D,221,16 : 55,,국내선,
13,D,223,18 : 20,,국내선,
14,D,225,19 : 25,,국내선,
15,D,227,19 : 45,,국내선,
16,D,229,20 : 00,,국내선,
17,D,231,20 : 20,,국내선,
18,A,202,09 : 15,09 : 14,국내선,
19,A,258,09 : 50,09 : 47,국내선,
20,A,204,10 : 30,10 : 16,국내선,
21,A,206,10 : 40,10 : 31,국내선,
22,A,208,11 : 10,11 : 05,국내선,
23,A,210,13 : 15,13 : 40,국내선,
24,A,212,14 : 10,14 : 18,국내선,
25,A,214,14 : 40,14 : 51,국내선,
26,A,216,16 : 10,16 : 10,국내선,
27,A,252,16 : 30,,국내선,
28,A,9888,17 : 10,,국제선,
29,A,218,18 : 40,,국내선,
30,A,220,19 : 05,,국내선,
31,A,222,19 : 25,,국내선,
32,A,224,19 : 45,,국내선,
33,A,226,20 : 55,,국내선,
34,A,228,21 : 35,,국내선,
35,A,230,22 : 35,,국내선,
