,type,flt,from,to,tm,gate
0,D,621,07:37,-,T1,103
1,D,881,08:07,-,T1,126
2,D,601,08:56,-,T1,128
3,D,611,09:15,-,T1,122
4,D,931,09:21,-,T1,127
5,D,641,09:54,-,T1,103
6,D,617,10:08,-,T1,130
7,D,631,11:56,-,T1,122
8,D,9631,14:15,-,T1,126
9,D,651,14:45,-,T1,124
10,D,613,14:45,-,T1,127
11,D,615,15:25,-,T1,131
12,D,603,15:40,-,T1,118
13,D,643,15:50,-,T1,125
14,D,511,17:05,-,T1,103
15,D,591,18:20,-,T1,131
16,D,501,19:00,-,T1,118
17,D,503,20:35,-,T1,127
18,D,593,20:45,-,T1,130
19,D,541,20:50,-,T1,126
20,D,513,20:55,-,T1,118
21,D,595,21:35,-,T1,125
22,A,512,-,05:25,T1,127
23,A,502,-,06:14,T1,126
24,A,594,-,07:09,T1,128
25,A,542,-,07:33,T1,122
26,A,504,-,08:02,T1,103
27,A,596,-,08:15,T1,130
28,A,514,-,10:09,T1,122
29,A,634,-,11:49,T1,127
30,A,642,-,13:10,T1,124
31,A,612,-,13:38,T1,110
32,A,622,-,14:07,T1,103
33,A,618,-,14:09,T1,131
34,A,882,-,14:10,T1,125
35,A,602,-,14:19,T1,118
36,A,632,-,16:55,T1,131
37,A,932,-,18:05,T1,118
38,A,614,-,19:35,T1,130
39,A,652,-,19:40,T1,126
40,A,9632,-,19:55,T1,103
41,A,644,-,20:05,T1,118
42,A,616,-,20:10,T1,125
43,A,604,-,21:35,T1,128
